Name,Visitor Clicks,Total Clicks,Bounce Rate
chieki,0,3,1.0
ichotelsgroup,1,8,0.875
hermitshut,0,1,1.0
heroandsound,0,2,1.0
learningco,0,2,1.0
ebtm,0,1,1.0
shnoop,0,1,1.0
juliehewett,0,2,1.0
mykidsinspiration,0,2,1.0
freepovitica,0,2,1.0
maryastor,0,1,1.0
schnucks,0,2,1.0
iflysfbay,1,3,0.667
sweetolivia,0,1,1.0
coleman,0,2,1.0
offofthewalltees,0,1,1.0
scrawledinwax,0,1,1.0
bezveze,0,1,1.0
deluxeforms,0,3,1.0
fragrancezone,0,1,1.0
domainerscript,0,1,1.0
yesicansmoke,0,3,1.0
lilithfair,0,1,1.0
sewmanyprims,0,1,1.0
4ormat,1,1,0.0
buch24,0,1,1.0
discoverbank,1,3,0.667
thelaptopbattery,0,1,1.0
gopetplan,0,1,1.0
lapantz4less,0,1,1.0
myvitanet,1,2,0.5
whatisblik,0,2,1.0
zipcar,5,17,0.706
ambrosiasw,1,1,0.0
goodycandles,0,1,1.0
continuumcare,0,1,1.0
buyskateshoes,0,2,1.0
printscharmingphotography,0,2,1.0
jrformalwear,0,2,1.0
autocheck,2,5,0.6
hitachibd,0,1,1.0
dell,16,75,0.787
kaspersky,0,6,1.0
kitchenstoreon10th,0,1,1.0
capoeira,0,2,1.0
delphiglass,0,3,1.0
luckysupermarkets,0,2,1.0
cayneshousewares,0,1,1.0
wellgosh,0,1,1.0
wbstudiotour,0,1,1.0
tcby,0,3,1.0
wegotsoccer,0,4,1.0
net10wireless,0,2,1.0
quickoildrainvalve,0,2,1.0
huggies,2,4,0.5
secondlife,0,1,1.0
americandiabeteswholesale,1,3,0.667
tackletogo,0,1,1.0
mountainhomebuildingproducts,0,2,1.0
itskona,0,1,1.0
sleekmakeup,0,2,1.0
tryecignow,0,1,1.0
keyringthing,0,1,1.0
inandoutcomputers,1,1,0.0
loblaws,0,2,1.0
giftbargains4u,0,1,1.0
gobyplane,0,1,1.0
solestruck,1,4,0.75
deckmydorm,0,2,1.0
newelectronx,0,1,1.0
charter,1,5,0.8
chiasso,0,4,1.0
carfax,5,14,0.643
georgewatts,0,1,1.0
theeducationcenter,0,2,1.0
seventymm,0,1,1.0
