Coupon,Num. Of Clicks,Min Time,Min-Clicks,Max Time,Max-Clicks,Mean,Meadian,Std. Dev
1242654,2,09,2,09,2,9.0,9.0,0.0
2733797,1,25,1,25,1,25.0,25.0,0.0
1983043,1,58,1,58,1,58.0,58.0,0.0
2783878,1,32,1,32,1,32.0,32.0,0.0
2731209,1,21,1,21,1,21.0,21.0,0.0
2633081,1,14,1,14,1,14.0,14.0,0.0
S241219,2,10,1,10,1,26.0,26.5,16.508
2474144,1,47,1,47,1,47.0,47.0,0.0
2774819,2,20,1,20,1,18.0,18.5,1.581
S227477,3,52,1,51,2,51.0,51,0.577
2845263,1,03,1,03,1,3.0,3.0,0.0
2851230,4,24,1,24,1,11.0,10.5,8.529
1470289,1,16,1,16,1,16.0,16.0,0.0
2847637,13,24,1,25,2,30.0,25,17.854
2801532,2,51,1,51,1,51.0,51.5,0.707
2851588,5,54,1,54,1,42.0,44,11.916
2555610,1,53,1,53,1,53.0,53.0,0.0
S144484,1,42,1,42,1,42.0,42.0,0.0
2850481,1,33,1,33,1,33.0,33.0,0.0
2816506,2,55,1,55,1,34.0,34.5,20.506
2670877,1,35,1,35,1,35.0,35.0,0.0
2816183,1,36,1,36,1,36.0,36.0,0.0
2505410,1,34,1,34,1,34.0,34.0,0.0
2811326,1,19,1,19,1,19.0,19.0,0.0
2060567,1,51,1,51,1,51.0,51.0,0.0
S136894,1,41,1,41,1,41.0,41.0,0.0
1787552,1,55,1,55,1,55.0,55.0,0.0
2702019,3,54,1,54,1,45.0,41,6.377
2811000,1,38,1,38,1,38.0,38.0,0.0
2746438,1,07,1,07,1,7.0,7.0,0.0
2850406,1,10,1,10,1,10.0,10.0,0.0
1077170,1,20,1,20,1,20.0,20.0,0.0
2818041,1,41,1,41,1,41.0,41.0,0.0
883762,1,06,1,06,1,6.0,6.0,0.0
2740463,1,45,1,45,1,45.0,45.0,0.0
2594656,4,46,1,46,1,34.0,32.0,7.124
1399671,1,28,1,28,1,28.0,28.0,0.0
2526234,1,50,1,50,1,50.0,50.0,0.0
2603082,1,46,1,46,1,46.0,46.0,0.0
2712107,7,01,1,01,1,33.0,52,25.057
S177469,1,56,1,56,1,56.0,56.0,0.0
2746676,2,18,1,18,1,38.0,38.0,20.0
2777465,1,14,1,14,1,14.0,14.0,0.0
S212436,1,26,1,26,1,26.0,26.0,0.0
2843877,1,35,1,35,1,35.0,35.0,0.0
2845181,1,48,1,48,1,48.0,48.0,0.0
2827939,44,03,1,42,4,27.0,26.5,18.114
1920296,1,24,1,24,1,24.0,24.0,0.0
S166516,1,52,1,52,1,52.0,52.0,0.0
2846511,1,17,1,17,1,17.0,17.0,0.0
2429665,1,49,1,49,1,49.0,49.0,0.0
S149656,2,46,1,46,1,46.0,46.5,0.707
1481085,1,34,1,34,1,34.0,34.0,0.0
2847247,2,03,1,03,1,27.0,27.5,24.505
2790468,2,13,1,13,1,26.0,26.0,13.0
2053348,1,46,1,46,1,46.0,46.0,0.0
2825358,5,43,1,38,2,38.0,38,9.571
S154197,1,08,1,08,1,8.0,8.0,0.0
S258278,1,18,1,18,1,18.0,18.0,0.0
1434167,1,48,1,48,1,48.0,48.0,0.0
2844595,2,37,1,37,1,32.0,32.5,4.528
1950477,1,30,1,30,1,30.0,30.0,0.0
2839241,5,47,1,09,2,25.0,09,20.342
2839786,2,25,1,25,1,32.0,32.5,7.517
